epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,261.352,2.56259,3.56823,1.26551,0.08982,0.43126,0.06723,0.01917,2.59573,inf,3.23812,0.000471372,0.000471372,0.000471372
2,303.344,2.55393,1.97558,1.36098,0.06446,0.08248,0.01848,0.0043,nan,nan,nan,0.000926855,0.000926855,0.000926855
3,341.492,2.56617,1.96359,1.37773,0.1895,0.23613,0.10344,0.03245,2.70407,inf,2.64444,0.00136138,0.00136138,0.00136138
4,382.339,2.49445,1.7537,1.3491,0.78236,0.40193,0.43365,0.13214,2.28747,2.00304,1.22135,0.00133469,0.00133469,0.00133469
5,420.759,2.43692,1.62644,1.33516,0.75897,0.35204,0.38221,0.12013,2.36288,1.56668,1.23079,0.00130325,0.00130325,0.00130325
6,461.758,2.39242,1.56834,1.29449,0.39734,0.41868,0.38939,0.1295,2.32005,1.94434,1.28458,0.00127181,0.00127181,0.00127181
7,500.722,2.40851,1.63583,1.37279,0.48398,0.51071,0.51522,0.15686,2.34,1.46239,1.22558,0.00124037,0.00124037,0.00124037
8,540.284,2.32458,1.46498,1.2869,0.51261,0.52621,0.52201,0.16634,2.28912,1.54625,1.17634,0.00120893,0.00120893,0.00120893
9,581.478,2.43486,1.47213,1.38932,0.52527,0.63769,0.56251,0.18547,2.24712,1.58359,1.18129,0.0011775,0.0011775,0.0011775
10,620.685,2.30447,1.41543,1.2689,0.69111,0.6818,0.66784,0.20607,2.27293,1.29964,1.17055,0.00114606,0.00114606,0.00114606
11,661.55,2.33848,1.40754,1.29192,0.6901,0.51658,0.5782,0.17324,2.25493,1.32694,1.1425,0.00111462,0.00111462,0.00111462
12,699.923,2.29368,1.36404,1.25818,0.68064,0.54154,0.62783,0.19578,2.28288,1.29313,1.13477,0.00108318,0.00108318,0.00108318
13,739.915,2.32167,1.30975,1.20276,0.75212,0.57956,0.67389,0.24534,2.14414,1.19431,1.13383,0.00105174,0.00105174,0.00105174
14,780.093,2.29167,1.32916,1.27301,0.7304,0.51338,0.59278,0.18009,2.22136,1.35313,1.18067,0.00102031,0.00102031,0.00102031
15,819.359,2.21392,1.31079,1.24174,0.67822,0.62666,0.64272,0.20621,2.22668,1.25184,1.16234,0.000988868,0.000988868,0.000988868
16,860.744,2.24699,1.27709,1.23525,0.72631,0.63317,0.72073,0.23553,2.21687,1.23208,1.19523,0.00095743,0.00095743,0.00095743
17,899.485,2.201,1.23541,1.18205,0.79981,0.77665,0.78103,0.26839,2.16752,1.19332,1.18884,0.000925992,0.000925992,0.000925992
18,940.226,2.1795,1.17935,1.22946,0.74228,0.65023,0.71807,0.24884,2.15702,1.13211,1.15965,0.000894554,0.000894554,0.000894554
19,979.941,2.14988,1.16262,1.23297,0.80457,0.69173,0.73802,0.24479,2.15165,1.21395,1.14472,0.000863116,0.000863116,0.000863116
20,1018.75,2.2042,1.17818,1.21715,0.71905,0.7274,0.7219,0.23163,2.18802,1.22227,1.16055,0.000831678,0.000831678,0.000831678
21,1059.67,2.19595,1.19197,1.24738,0.7327,0.74957,0.79742,0.26361,2.13577,1.19374,1.16752,0.00080024,0.00080024,0.00080024
22,1098.88,2.21688,1.1996,1.2414,0.91715,0.63834,0.75083,0.24273,2.22779,1.22535,1.17104,0.000768802,0.000768802,0.000768802
23,1140.46,2.12668,1.12742,1.22406,0.70937,0.6557,0.73646,0.24549,2.13397,1.15571,1.1625,0.000737364,0.000737364,0.000737364
24,1179.84,2.18704,1.1588,1.19152,0.76071,0.72841,0.7597,0.26832,2.12851,1.18965,1.14267,0.000705926,0.000705926,0.000705926
25,1219.28,2.11318,1.06228,1.17868,0.86508,0.73281,0.79249,0.25886,2.09659,1.04251,1.1467,0.000674488,0.000674488,0.000674488
26,1259.52,2.12669,1.11621,1.19027,0.91832,0.74579,0.83024,0.28761,2.0838,1.01405,1.12628,0.00064305,0.00064305,0.00064305
27,1298.48,2.08184,1.07463,1.20512,0.85583,0.78094,0.84634,0.3052,2.11342,1.0803,1.15554,0.000611612,0.000611612,0.000611612
28,1339.65,2.10576,1.05906,1.16716,0.82374,0.73848,0.78721,0.25336,2.09595,1.04381,1.15386,0.000580174,0.000580174,0.000580174
29,1377.72,2.04984,1.04687,1.20299,0.90933,0.78853,0.84063,0.27422,2.14533,0.99522,1.1456,0.000548736,0.000548736,0.000548736
30,1418.97,2.08499,1.04213,1.22456,0.77498,0.77546,0.82299,0.2811,2.16394,1.04091,1.15572,0.000517298,0.000517298,0.000517298
31,1457.67,2.10993,1.07769,1.19355,0.89345,0.7332,0.85368,0.28151,2.10384,1.009,1.15185,0.00048586,0.00048586,0.00048586
32,1498.26,2.02477,1.02217,1.19722,0.90048,0.76383,0.82806,0.2816,2.14932,1.00314,1.14883,0.000454422,0.000454422,0.000454422
33,1537.54,2.04268,1.01867,1.14765,0.785,0.78703,0.82832,0.26562,2.13158,1.04401,1.15101,0.000422984,0.000422984,0.000422984
34,1577.25,2.04604,1.05357,1.18485,0.89258,0.67471,0.81594,0.25375,2.12556,1.0012,1.16099,0.000391546,0.000391546,0.000391546
35,1616.75,1.99857,0.99422,1.18857,0.77016,0.7383,0.78842,0.24894,2.15138,1.06397,1.15977,0.000360108,0.000360108,0.000360108
36,1656.45,2.01463,0.99226,1.14074,0.89207,0.67574,0.80945,0.25648,2.14031,1.03991,1.15748,0.00032867,0.00032867,0.00032867
37,1696.17,1.99478,1.01517,1.15395,0.76328,0.75558,0.82368,0.28208,2.08928,1.09715,1.13147,0.000297232,0.000297232,0.000297232
38,1734.77,1.9888,0.96412,1.13404,0.82823,0.74217,0.81276,0.24585,2.17967,1.03174,1.16904,0.000265794,0.000265794,0.000265794
39,1774.13,2.02005,0.9508,1.13634,0.84048,0.734,0.81278,0.2684,2.13584,1.02988,1.15022,0.000234356,0.000234356,0.000234356
40,1813.65,1.96735,0.94363,1.1296,0.8841,0.819,0.8762,0.29865,2.09422,0.98187,1.14441,0.000202918,0.000202918,0.000202918
41,1851.96,1.94129,0.90241,1.09149,0.89031,0.76386,0.85398,0.29239,2.11907,0.989,1.15587,0.00017148,0.00017148,0.00017148
42,1892.58,1.96242,0.8873,1.10644,0.86623,0.80555,0.88251,0.29601,2.11583,0.98989,1.15763,0.000140042,0.000140042,0.000140042
43,1930.88,1.91528,0.8594,1.10526,0.89037,0.777,0.8859,0.28922,2.11036,0.98937,1.15529,0.000108604,0.000108604,0.000108604
44,1969.58,1.96616,0.90104,1.12065,0.92993,0.76844,0.89118,0.29448,2.11837,0.9834,1.15493,7.7166e-05,7.7166e-05,7.7166e-05
45,2009.04,1.93355,0.862,1.11158,0.90964,0.77513,0.87425,0.29798,2.09384,0.96994,1.15027,4.5728e-05,4.5728e-05,4.5728e-05
